TRAIN,RNN_15,RNN_30,RNN_60,LSTM_15,LSTM_30,LSTM_60,SLSTM_15,SLSTM_30,SLSTM_60,BLSTM_15,BLSTM_30,BLSTM_60,GRU_15,GRU_30,GRU_60
Sam_1,5.334785,12.296638,21.448593,4.558483,10.351258,19.850665,5.247675,8.520898,20.413096,4.941681,10.788007,21.029951,4.66276,9.896146,22.335017
Sam_3,8.233208,14.647073,29.997911,6.232092,17.752418,29.822043,5.067079,13.35252,29.770852,7.119786,15.010854,29.228303,6.345341,14.262453,29.670276
Sam_4,4.514744,10.947241,22.704506,4.216051,9.563008,22.319068,5.59299,9.229527,21.857878,3.613398,11.464858,22.202453,4.124562,11.520191,22.36376
Sam_5,5.263203,13.899561,27.517511,5.662937,12.302133,27.407083,4.88343,12.143536,27.968847,5.986921,12.466265,28.853857,5.146804,11.696029,26.42322
Sam_6,6.863955,16.545126,35.09132,5.669625,19.66157,32.782056,5.657838,15.650905,33.585089,7.774337,17.518278,32.710448,5.180534,15.375034,36.420078
Sam_7,4.234616,9.218836,15.32764,5.288298,9.492018,16.349556,3.831278,8.931273,15.491962,3.989871,8.48965,15.711322,5.063173,9.623945,15.845567
Sam_8,8.368915,21.331575,44.572657,7.62352,21.193477,40.845251,5.948576,16.097866,43.633863,7.830831,17.841508,37.72636,7.371097,17.767869,39.773646
Sam_9,3.5591,6.711838,12.049104,3.773205,6.956555,11.524176,4.728498,8.741278,12.329246,3.494525,7.017396,11.205483,3.531793,6.917621,11.981478
Sam_10,8.015804,14.100352,25.956422,5.477008,11.616161,22.570929,4.167484,13.136424,25.516589,4.440435,11.433072,20.587481,4.556993,10.514427,26.298147
Sam_11,11.248249,22.251801,36.02786,13.646834,27.865663,31.913094,10.097806,17.616987,32.40612,17.207099,23.796481,35.579269,9.980528,20.135156,34.173851
Sam_12,7.580912,20.102074,41.781933,8.900134,19.673516,38.728604,9.139425,16.419975,38.529102,10.925686,18.075751,39.184536,6.416334,17.66064,40.382516
Sam_13,7.372529,15.623242,29.739721,5.474048,11.273603,23.461987,6.343401,11.453144,28.488767,5.6362,15.477254,28.130598,4.879679,11.386701,26.031715
Sam_14,7.010595,17.422436,34.400845,5.544646,14.952917,31.991475,4.985392,13.240352,35.096162,5.135824,14.030264,36.551579,5.218859,13.799542,33.292134
Sam_15,8.153687,15.490413,29.540766,7.230397,14.695324,29.093635,7.380541,18.114541,27.76678,6.463889,16.603699,28.527458,5.618093,14.467261,28.834311
Sam_16,5.362166,11.875398,20.214946,5.081376,10.216677,19.326403,5.602792,10.276451,17.323597,4.428474,10.784497,19.390671,4.274789,11.786718,20.807788
Sam_17,8.200973,20.657452,37.74184,7.190262,18.974799,40.556127,7.207902,16.665735,37.982255,7.207732,22.43344,39.060613,6.424753,17.334429,36.435742
Sam_18,9.066793,21.314771,42.764027,7.754329,20.793557,40.375473,8.161585,23.268975,42.361783,12.85574,27.818074,41.833664,7.147079,17.485283,40.653501
Sam_19,6.0843,15.17471,28.878517,5.894919,13.150788,24.95585,3.925086,10.249718,25.062128,5.090702,14.470672,25.419411,4.55192,11.327703,26.184437
Sam_20,,,,,,,,,,,,,,,
21_Sam,13.706645,24.489407,42.257713,8.982683,18.488489,38.676685,10.987137,21.542005,37.65979,12.783612,22.319525,36.851931,8.92354,16.815578,46.852381
22_Sam,6.441925,14.759144,25.892659,5.984333,13.959386,25.848116,5.166174,13.686881,24.157395,5.935068,13.574044,25.894627,10.516213,13.275746,25.307159
23_Sam,4.416347,10.003386,16.820163,4.073251,9.070216,15.866013,3.840746,8.554795,15.521732,4.487964,9.327752,16.334196,3.769738,8.588255,16.239309
24_Sam,5.779939,13.219467,26.34743,6.297873,10.400945,24.252168,6.151506,10.097835,20.508131,5.606226,10.468695,21.869572,5.04393,10.668163,21.064796
25_Sam,3.726587,7.053827,14.413601,2.882324,6.852153,14.034265,2.812499,6.505985,13.856306,3.527106,7.819166,14.090464,3.623074,7.462272,13.989627
26_Sam,7.096505,13.677161,23.010509,6.889239,16.326301,21.76244,3.706215,12.986473,24.966058,6.576206,16.07197,23.526582,5.43108,11.774415,22.814301
27_Sam,5.939676,11.564171,20.726321,5.672282,14.042536,21.90501,4.823325,11.634364,21.928812,5.436254,10.481459,20.047974,5.210494,11.668906,20.909716
28_Sam,5.110873,13.353781,25.08533,4.844823,11.850271,24.355958,6.43545,11.252561,23.689402,4.835593,12.659007,24.28824,4.469468,12.611761,24.446842
29_Sam,7.992898,17.482428,34.246619,5.566714,16.865705,24.334506,6.87968,13.512838,41.438781,6.508195,15.852825,28.631119,5.542317,15.045336,28.902171
30_Sam,6.130304,15.928594,31.44631,4.951987,13.163744,28.930361,4.201866,13.109032,28.088335,6.414135,15.365381,32.619571,4.99023,13.382384,30.946054
31_Sam,8.297977,16.564383,33.708191,6.759134,16.736334,31.13261,5.696216,15.434862,30.30343,5.3416,15.943708,31.332795,5.342707,12.871221,32.301427
32_Sam,7.281541,16.727883,33.116214,6.667364,17.464722,33.77849,4.96538,15.985086,32.7534,5.890067,17.623221,34.26643,5.269794,13.902969,32.4952
33_Sam,5.645816,13.413518,29.285139,6.958395,11.682145,28.237364,4.246118,10.20582,25.137669,4.775584,12.04232,28.270505,4.955966,13.159138,27.880952
34_Sam,,,,,,,,,,,,,,,
35_Sam,,,,,,,,,,,,,,,
36_Sam,,,,,,,,,,,,,,,
37_Sam,,,,,,,,,,,,,,,
38_Sam,,,,,,,,,,,,,,,
39_Sam,,,,,,,,,,,,,,,
40_Sam,,,,,,,,,,,,,,,
41_Sam,,,,,,,,,,,,,,,
42_Sam,,,,,,,,,,,,,,,
PASS,,,,,,,,,,,,,,,
44_Sam,,,,,,,,,,,,,,,
PASS,,,,,,,,,,,,,,,
46_Sam,,,,,,,,,,,,,,,
47_Sam,,,,,,,,,,,,,,,
48_Sam,,,,,,,,,,,,,,,
49_Sam,,,,,,,,,,,,,,,
50_Sam,,,,,,,,,,,,,,,
51_Sam,,,,,,,,,,,,,,,
52_Sam,,,,,,,,,,,,,,,
53_Sam,,,,,,,,,,,,,,,
54_Sam,,,,,,,,,,,,,,,
55_Sam,,,,,,,,,,,,,,,
RMSE,6.839857,15.09186087,28.77781671,6.185437613,14.43188352,26.99959552,5.738099677,13.14898845,27.59978571,6.524540032,14.67964816,27.45024074,5.599472323,13.03817071,27.80829416
,,,,,,,,,,,,,,,
